further-education-college-uk	name	region	start-date	end-date
1	Abingdon and Witney College	further-education-college-uk-region:1		
2	Accrington and Rossendale College	further-education-college-uk-region:1		
3	Activate Learning	further-education-college-uk-region:1		
4	Ada, National College for Digital Skills	further-education-college-uk-region:1		
5	Alton College	further-education-college-uk-region:1		
6	Aquinas College	further-education-college-uk-region:1		
7	Ashton-under-Lyne Sixth Form College	further-education-college-uk-region:1		
8	Askham Bryan College	further-education-college-uk-region:1		
9	Barking and Dagenham College	further-education-college-uk-region:1		
10	Barnet and Southgate College	further-education-college-uk-region:1		
11	Barnfield College	further-education-college-uk-region:1		
12	Barnsley College	further-education-college-uk-region:1		
13	Barton Peveril College	further-education-college-uk-region:1		
14	Basingstoke College of Technology	further-education-college-uk-region:1		
15	Bath College	further-education-college-uk-region:1		
16	Berkshire College of Agriculture	further-education-college-uk-region:1		
17	Bexhill College	further-education-college-uk-region:1		
18	Bilborough College	further-education-college-uk-region:1		
19	Birmingham Metropolitan College	further-education-college-uk-region:1		
20	Bishop Auckland College	further-education-college-uk-region:1		
21	Bishop Burton College	further-education-college-uk-region:1		
22	Blackburn College	further-education-college-uk-region:1		
23	Blackpool and The Fylde College	further-education-college-uk-region:1		
24	Blackpool Sixth Form College	further-education-college-uk-region:1		
25	Bolton College	further-education-college-uk-region:1		
26	Bolton Sixth Form College	further-education-college-uk-region:1		
27	Boston College	further-education-college-uk-region:1		
28	Bournemouth & Poole College	further-education-college-uk-region:1		
29	Bracknell and Wokingham College	further-education-college-uk-region:1		
30	Bradford College	further-education-college-uk-region:1		
31	Bridgwater and Taunton College	further-education-college-uk-region:1		
32	Brighton, Hove and Sussex Sixth Form College	further-education-college-uk-region:1		
33	Brockenhurst College	further-education-college-uk-region:1		
34	Brooklands College	further-education-college-uk-region:1		
35	Brooksby Melton College	further-education-college-uk-region:1		
36	Buckinghamshire College Group	further-education-college-uk-region:1		
37	Burnley College	further-education-college-uk-region:1		
38	Burton and South Derbyshire College	further-education-college-uk-region:1		
39	Bury College	further-education-college-uk-region:1		
40	Cadbury Sixth Form College	further-education-college-uk-region:1		
41	Calderdale College	further-education-college-uk-region:1		
42	Cambridge Regional College	further-education-college-uk-region:1		
43	Capel Manor College	further-education-college-uk-region:1		
44	Capital City College Group (CCCG)	further-education-college-uk-region:1		
45	Cardinal Newman College	further-education-college-uk-region:1		
46	Carmel College	further-education-college-uk-region:1		
47	Central Bedfordshire College	further-education-college-uk-region:1		
48	Cheadle and Marple Sixth Form College	further-education-college-uk-region:1		
49	Chelmsford College	further-education-college-uk-region:1		
50	Cheshire College South and West	further-education-college-uk-region:1		
51	Chesterfield College	further-education-college-uk-region:1		
52	Chichester College Group	further-education-college-uk-region:1		
53	Christ the King Sixth Form College	further-education-college-uk-region:1		
54	Cirencester College	further-education-college-uk-region:1		
55	City College Norwich	further-education-college-uk-region:1		
56	City College Plymouth	further-education-college-uk-region:1		
57	City Literary Institute (The)	further-education-college-uk-region:1		
58	City of Bristol College	further-education-college-uk-region:1		
59	City of Wolverhampton College	further-education-college-uk-region:1		
60	Colchester Institute	further-education-college-uk-region:1		
61	College of Richard Collyer in Horsham (The)	further-education-college-uk-region:1		
62	College of West Anglia (The)	further-education-college-uk-region:1		
63	Cornwall College Group	further-education-college-uk-region:1		
64	Coulsdon College	further-education-college-uk-region:1		
65	Coventry College	further-education-college-uk-region:1		
66	Craven College	further-education-college-uk-region:1		
67	Croydon College	further-education-college-uk-region:1		
68	Darlington College	further-education-college-uk-region:1		
69	Derby College	further-education-college-uk-region:1		
70	Derwentside College	further-education-college-uk-region:1		
71	DN Colleges Group	further-education-college-uk-region:1		
72	Dudley College	further-education-college-uk-region:1		
73	Ealing, Hammersmith and West London College	further-education-college-uk-region:1		
74	East Coast College	further-education-college-uk-region:1		
75	East Durham College	further-education-college-uk-region:1		
76	East Kent Colleges (EKC) Group	further-education-college-uk-region:1		
77	East Riding College	further-education-college-uk-region:1		
78	East Surrey College	further-education-college-uk-region:1		
79	East Sussex College Group	further-education-college-uk-region:1		
80	Eastleigh College	further-education-college-uk-region:1		
81	Easton and Otley College	further-education-college-uk-region:1		
82	Esher College	further-education-college-uk-region:1		
83	Exeter College	further-education-college-uk-region:1		
84	Fareham College	further-education-college-uk-region:1		
85	Farnborough College of Technology	further-education-college-uk-region:1		
86	Fircroft College of Adult Education	further-education-college-uk-region:1		
87	Franklin College	further-education-college-uk-region:1		
88	Furness College	further-education-college-uk-region:1		
89	Gateshead College	further-education-college-uk-region:1		
90	Gateway Sixth Form College	further-education-college-uk-region:1		
91	Gloucestershire College	further-education-college-uk-region:1		
92	Grantham College	further-education-college-uk-region:1		
93	Greater Brighton Metropolitan College	further-education-college-uk-region:1		
94	Greenhead College	further-education-college-uk-region:1		
95	Grimsby Institute Group of Further and Higher Education	further-education-college-uk-region:1		
96	Guildford College of Further and Higher Education	further-education-college-uk-region:1		
97	Hadlow College Group	further-education-college-uk-region:1		
98	Halesowen College	further-education-college-uk-region:1		
99	Harlow College	further-education-college-uk-region:1		
100	Hartlepool College of Further Education	further-education-college-uk-region:1		
101	Hartpury College	further-education-college-uk-region:1		
102	Havant and South Downs College	further-education-college-uk-region:1		
103	Havering College of Further and Higher Education	further-education-college-uk-region:1		
